plataforma,modo,ciclo,n_en_ciclo,timestamp_local,latencia_ms,http_status,instance_id,first_request,uptime_ms,colo,request_id,es_frio,criterio_frio,error,cw_duration_ms,cw_billed_ms,cw_init_duration_ms,cw_log_stream,resto_red_plataforma_ms
aws-lambda,forzado,1,0,2026-09-19T21:48:42.102,825.4,200,81db3c7a-4ac9-406c-8d5d-de55ceba791d,,6,,0d544e41-6536-4a6d-bf90-6ecd8b677402,True,uptime_bajo,,36.48,178,141.40,2026/09/20/[$LATEST]0ec5a3a5dfba49c19d9c015ddd020ddd,647.5
aws-lambda,forzado,1,1,2026-09-19T21:48:43.099,493.7,200,81db3c7a-4ac9-406c-8d5d-de55ceba791d,,963,,6e2eee22-4015-49a1-b55c-3a591be9984d,False,,,1.55,2,,2026/09/20/[$LATEST]0ec5a3a5dfba49c19d9c015ddd020ddd,492.1
aws-lambda,forzado,1,2,2026-09-19T21:48:44.063,423.2,200,81db3c7a-4ac9-406c-8d5d-de55ceba791d,,1851,,ad142022-a6ad-4d16-9929-646a7fa40b90,False,,,1.54,2,,2026/09/20/[$LATEST]0ec5a3a5dfba49c19d9c015ddd020ddd,421.7
aws-lambda,forzado,1,3,2026-09-19T21:48:45.002,433.5,200,81db3c7a-4ac9-406c-8d5d-de55ceba791d,,2719,,91573e1b-800c-4c78-abda-dce74ade48f8,False,,,1.44,2,,2026/09/20/[$LATEST]0ec5a3a5dfba49c19d9c015ddd020ddd,432.1
aws-lambda,forzado,1,4,2026-09-19T21:48:45.959,429.2,200,81db3c7a-4ac9-406c-8d5d-de55ceba791d,,3601,,3419ca8c-4e07-45ed-aeda-ec92039a5b55,False,,,1.36,2,,2026/09/20/[$LATEST]0ec5a3a5dfba49c19d9c015ddd020ddd,427.8
aws-lambda,forzado,1,5,2026-09-19T21:48:46.914,422.9,200,81db3c7a-4ac9-406c-8d5d-de55ceba791d,,4483,,94477a28-7b46-4f4c-a507-cc6fbc993463,False,,,1.39,2,,2026/09/20/[$LATEST]0ec5a3a5dfba49c19d9c015ddd020ddd,421.5
aws-lambda,forzado,2,0,2026-09-19T21:49:05.251,710.1,200,78e2015d-e4c6-4315-bb0f-1c3e69a0fdaf,,6,,c7a7db6b-737e-43af-b2fd-ffbc7da05f0b,True,instance_id_cambio,,28.88,151,121.62,2026/09/20/[$LATEST]30674f7380014a2590798a30eee4fc74,559.6
aws-lambda,forzado,2,1,2026-09-19T21:49:06.210,452.5,200,78e2015d-e4c6-4315-bb0f-1c3e69a0fdaf,,902,,748ba597-5d25-4089-8acb-f3068a18fc74,False,,,11.43,12,,2026/09/20/[$LATEST]30674f7380014a2590798a30eee4fc74,441.1
aws-lambda,forzado,2,2,2026-09-19T21:49:07.207,483.4,200,78e2015d-e4c6-4315-bb0f-1c3e69a0fdaf,,1820,,a8285384-4b6f-404f-8616-82f94d98a108,False,,,1.84,2,,2026/09/20/[$LATEST]30674f7380014a2590798a30eee4fc74,481.6
aws-lambda,forzado,2,3,2026-09-19T21:49:08.147,430.2,200,78e2015d-e4c6-4315-bb0f-1c3e69a0fdaf,,2689,,e73fb269-8a36-4654-b1fa-b40f52465ebe,False,,,1.64,2,,2026/09/20/[$LATEST]30674f7380014a2590798a30eee4fc74,428.6
aws-lambda,forzado,2,4,2026-09-19T21:49:09.073,424.1,200,78e2015d-e4c6-4315-bb0f-1c3e69a0fdaf,,3544,,cae1e197-3e5d-47f8-ba18-59b62fc598e9,False,,,1.54,2,,2026/09/20/[$LATEST]30674f7380014a2590798a30eee4fc74,422.6
aws-lambda,forzado,2,5,2026-09-19T21:49:10.036,423.7,200,78e2015d-e4c6-4315-bb0f-1c3e69a0fdaf,,4433,,c83b967d-7e4b-4913-82ac-e8cc20210f83,False,,,1.78,2,,2026/09/20/[$LATEST]30674f7380014a2590798a30eee4fc74,421.9
aws-lambda,forzado,3,0,2026-09-19T21:49:31.469,638.1,200,3e4a9d21-6bb4-4137-9a8f-5f46cb5d6951,,7,,b625b7ba-cdb4-46d9-9c42-f8600545386c,True,instance_id_cambio,,37.64,181,142.96,2026/09/20/[$LATEST]6d1dc99a0cce4e5ea69142ebd292c2d1,457.5
aws-lambda,forzado,3,1,2026-09-19T21:49:32.331,362.1,200,3e4a9d21-6bb4-4137-9a8f-5f46cb5d6951,,983,,b7e9bedc-f99c-478e-9583-3de2697d9f3e,False,,,1.77,2,,2026/09/20/[$LATEST]6d1dc99a0cce4e5ea69142ebd292c2d1,360.3
aws-lambda,forzado,3,2,2026-09-19T21:49:33.191,359.1,200,3e4a9d21-6bb4-4137-9a8f-5f46cb5d6951,,1921,,0191057d-7908-476a-9aae-877b73f69033,False,,,1.79,2,,2026/09/20/[$LATEST]6d1dc99a0cce4e5ea69142ebd292c2d1,357.3
aws-lambda,forzado,3,3,2026-09-19T21:49:34.053,361.9,200,3e4a9d21-6bb4-4137-9a8f-5f46cb5d6951,,2860,,5ee2b988-b812-437c-9d2c-6188289dc3d2,False,,,1.52,2,,2026/09/20/[$LATEST]6d1dc99a0cce4e5ea69142ebd292c2d1,360.4
aws-lambda,forzado,3,4,2026-09-19T21:49:34.914,360.7,200,3e4a9d21-6bb4-4137-9a8f-5f46cb5d6951,,3800,,dd527841-2d6a-4fe2-a835-b3d06ae11e3e,False,,,1.51,2,,2026/09/20/[$LATEST]6d1dc99a0cce4e5ea69142ebd292c2d1,359.2
aws-lambda,forzado,3,5,2026-09-19T21:49:35.807,392.7,200,3e4a9d21-6bb4-4137-9a8f-5f46cb5d6951,,4774,,e3090756-5666-423f-b066-8505101a1079,False,,,1.47,2,,2026/09/20/[$LATEST]6d1dc99a0cce4e5ea69142ebd292c2d1,391.2
aws-lambda,forzado,4,0,2026-09-19T21:49:59.612,708.9,200,3e13164c-4f85-476f-995c-b5fca7d0eb7f,,6,,1e615c74-34d0-45fe-9923-7d73390d93aa,True,instance_id_cambio,,27.15,174,146.29,2026/09/20/[$LATEST]58fb6409466840b2b1e8c9d458f8526d,535.5
aws-lambda,forzado,4,1,2026-09-19T21:50:00.546,434.4,200,3e13164c-4f85-476f-995c-b5fca7d0eb7f,,876,,c24d1bf1-a77e-4610-a11c-bc6435fe0a59,False,,,1.74,2,,2026/09/20/[$LATEST]58fb6409466840b2b1e8c9d458f8526d,432.7
aws-lambda,forzado,4,2,2026-09-19T21:50:01.480,433.0,200,3e13164c-4f85-476f-995c-b5fca7d0eb7f,,1738,,e7d26e91-f886-40c8-9b29-fb8faf18a9d4,False,,,14.19,15,,2026/09/20/[$LATEST]58fb6409466840b2b1e8c9d458f8526d,418.8
