request_id,log_stream,ts_cloudwatch,duration_ms,billed_ms,memory_mb,max_memory_mb,init_duration_ms
0d544e41-6536-4a6d-bf90-6ecd8b677402,2026/09/20/[$LATEST]0ec5a3a5dfba49c19d9c015ddd020ddd,2026-09-20T00:48:40.910000+00:00,36.48,178,128,82,141.40
6e2eee22-4015-49a1-b55c-3a591be9984d,2026/09/20/[$LATEST]0ec5a3a5dfba49c19d9c015ddd020ddd,2026-09-20T00:48:41.832000+00:00,1.55,2,128,82,
ad142022-a6ad-4d16-9929-646a7fa40b90,2026/09/20/[$LATEST]0ec5a3a5dfba49c19d9c015ddd020ddd,2026-09-20T00:48:42.721000+00:00,1.54,2,128,82,
91573e1b-800c-4c78-abda-dce74ade48f8,2026/09/20/[$LATEST]0ec5a3a5dfba49c19d9c015ddd020ddd,2026-09-20T00:48:43.588000+00:00,1.44,2,128,82,
3419ca8c-4e07-45ed-aeda-ec92039a5b55,2026/09/20/[$LATEST]0ec5a3a5dfba49c19d9c015ddd020ddd,2026-09-20T00:48:44.471000+00:00,1.36,2,128,82,
94477a28-7b46-4f4c-a507-cc6fbc993463,2026/09/20/[$LATEST]0ec5a3a5dfba49c19d9c015ddd020ddd,2026-09-20T00:48:45.353000+00:00,1.39,2,128,82,
c7a7db6b-737e-43af-b2fd-ffbc7da05f0b,2026/09/20/[$LATEST]30674f7380014a2590798a30eee4fc74,2026-09-20T00:49:02.296000+00:00,28.88,151,128,82,121.62
748ba597-5d25-4089-8acb-f3068a18fc74,2026/09/20/[$LATEST]30674f7380014a2590798a30eee4fc74,2026-09-20T00:49:03.175000+00:00,11.43,12,128,82,
a8285384-4b6f-404f-8616-82f94d98a108,2026/09/20/[$LATEST]30674f7380014a2590798a30eee4fc74,2026-09-20T00:49:04.094000+00:00,1.84,2,128,82,
e73fb269-8a36-4654-b1fa-b40f52465ebe,2026/09/20/[$LATEST]30674f7380014a2590798a30eee4fc74,2026-09-20T00:49:04.951000+00:00,1.64,2,128,82,
cae1e197-3e5d-47f8-ba18-59b62fc598e9,2026/09/20/[$LATEST]30674f7380014a2590798a30eee4fc74,2026-09-20T00:49:05.806000+00:00,1.54,2,128,82,
c83b967d-7e4b-4913-82ac-e8cc20210f83,2026/09/20/[$LATEST]30674f7380014a2590798a30eee4fc74,2026-09-20T00:49:06.695000+00:00,1.78,2,128,82,
