plataforma,modo,ciclo,n_en_ciclo,timestamp_local,latencia_ms,http_status,instance_id,first_request,uptime_ms,colo,request_id,es_frio,criterio_frio,error
aws-lambda,natural,1,0,2026-09-19T18:23:03.757,794.9,200,ff7b5589-951b-43c5-b59f-124fdf6a19aa,,7,,891dd324-a927-4bb3-9c15-769b80dc5220,True,uptime_bajo,
aws-lambda,natural,1,1,2026-09-19T18:23:04.687,429.8,200,ff7b5589-951b-43c5-b59f-124fdf6a19aa,,955,,e76256b3-7feb-4d32-bade-b257e8f74d8c,False,,
aws-lambda,natural,1,2,2026-09-19T18:23:05.611,423.5,200,ff7b5589-951b-43c5-b59f-124fdf6a19aa,,1878,,e0bcbbb5-0dfc-474b-bfb5-014cb8408d93,False,,
aws-lambda,natural,1,3,2026-09-19T18:23:06.504,392.2,200,ff7b5589-951b-43c5-b59f-124fdf6a19aa,,2771,,2ee74d89-0dbe-4399-914e-0f01c5445f19,False,,
aws-lambda,natural,1,4,2026-09-19T18:23:07.437,432.4,200,ff7b5589-951b-43c5-b59f-124fdf6a19aa,,3705,,ee1a7306-769a-425b-82ca-2796d83b0f3a,False,,
aws-lambda,natural,1,5,2026-09-19T18:23:08.356,418.9,200,ff7b5589-951b-43c5-b59f-124fdf6a19aa,,4623,,f034b861-7385-4a09-a447-462f603bbeb1,False,,
cloudflare-workers,natural,1,0,2026-09-19T18:23:08.561,204.4,200,e3af2321-1889-48be-ae40-eabef16bfe3e,True,0,GIG,,True,first_request,
cloudflare-workers,natural,1,1,2026-09-19T18:23:09.262,200.8,200,e0c1e688-a012-4695-b0d3-ca418f2ec92a,False,2403639,GIG,,False,(otro_isolate),
cloudflare-workers,natural,1,2,2026-09-19T18:23:09.975,211.9,200,e0c1e688-a012-4695-b0d3-ca418f2ec92a,False,2404350,GIG,,False,,
cloudflare-workers,natural,1,3,2026-09-19T18:23:10.679,203.8,200,cf5d4fd4-f2c1-4cba-a273-7c5372670f51,False,2388694,GIG,,False,(otro_isolate),
cloudflare-workers,natural,1,4,2026-09-19T18:23:11.380,200.4,200,00dcfc74-33df-4099-a396-e346d85cf439,False,2406468,GIG,,False,(otro_isolate),
cloudflare-workers,natural,1,5,2026-09-19T18:23:12.099,218.4,200,e0c1e688-a012-4695-b0d3-ca418f2ec92a,False,2406473,GIG,,False,(otro_isolate),
aws-lambda,forzado,1,0,2026-09-19T18:23:18.935,678.8,200,3ea9aabc-e479-45b1-9c69-91b2c7345c84,,7,,2da38737-4b82-4348-b6b2-0856bd5d8092,True,instance_id_cambio,
aws-lambda,forzado,1,1,2026-09-19T18:23:19.857,421.0,200,3ea9aabc-e479-45b1-9c69-91b2c7345c84,,937,,1da2b344-5831-44c1-b04e-bad9271612c1,False,,
aws-lambda,forzado,1,2,2026-09-19T18:23:20.738,381.0,200,3ea9aabc-e479-45b1-9c69-91b2c7345c84,,1818,,b8bac6c6-9987-4649-9b43-479b600aa27f,False,,
aws-lambda,forzado,1,3,2026-09-19T18:23:21.643,404.7,200,3ea9aabc-e479-45b1-9c69-91b2c7345c84,,2723,,d8e9ff32-a1f9-452c-ab35-62fe6c989e5c,False,,
