plataforma,modo,ciclo,n_en_ciclo,timestamp_local,latencia_ms,http_status,instance_id,first_request,uptime_ms,colo,request_id,es_frio,criterio_frio,error
aws-lambda,natural,1,0,2026-09-19T17:43:00.151,1015.7,200,e169e9a6-31a3-4f5f-ab16-5aa7a971641e,,7,,d82ade47-b72e-47a9-9868-1be32025b894,True,uptime_bajo,
aws-lambda,natural,1,1,2026-09-19T17:43:01.060,407.9,200,e169e9a6-31a3-4f5f-ab16-5aa7a971641e,,947,,a71f45af-a933-495a-8467-0147683a5371,False,,
aws-lambda,natural,1,2,2026-09-19T17:43:01.945,384.5,200,e169e9a6-31a3-4f5f-ab16-5aa7a971641e,,1832,,5cd85dae-c6cc-4eb7-90a4-9ea1a8d7017f,False,,
aws-lambda,natural,1,3,2026-09-19T17:43:02.826,380.8,200,e169e9a6-31a3-4f5f-ab16-5aa7a971641e,,2715,,67849d4c-78dd-402f-b039-d581f6ed5827,False,,
aws-lambda,natural,1,4,2026-09-19T17:43:03.711,384.0,200,e169e9a6-31a3-4f5f-ab16-5aa7a971641e,,3598,,3db52a43-1041-4bf0-bd96-1cac8f2185cf,False,,
aws-lambda,natural,1,5,2026-09-19T17:43:04.592,380.7,200,e169e9a6-31a3-4f5f-ab16-5aa7a971641e,,4480,,e96654f3-debe-4af2-84b3-ba3fa6dc9b10,False,,
cloudflare-workers,natural,1,0,2026-09-19T17:43:04.825,233.5,200,00dcfc74-33df-4099-a396-e346d85cf439,True,0,GIG,,True,first_request,
cloudflare-workers,natural,1,1,2026-09-19T17:43:05.534,208.4,200,e0c1e688-a012-4695-b0d3-ca418f2ec92a,True,0,GIG,,True,first_request+(otro_isolate),
cloudflare-workers,natural,1,2,2026-09-19T17:43:06.242,207.6,200,00dcfc74-33df-4099-a396-e346d85cf439,False,1416,GIG,,False,(otro_isolate),
cloudflare-workers,natural,1,3,2026-09-19T17:43:06.947,204.2,200,00dcfc74-33df-4099-a396-e346d85cf439,False,2125,GIG,,False,,
cloudflare-workers,natural,1,4,2026-09-19T17:43:07.667,219.7,200,00dcfc74-33df-4099-a396-e346d85cf439,False,2841,GIG,,False,,
cloudflare-workers,natural,1,5,2026-09-19T17:43:08.375,207.9,200,e0c1e688-a012-4695-b0d3-ca418f2ec92a,False,2841,GIG,,False,(otro_isolate),
aws-lambda,forzado,1,0,2026-09-19T17:43:15.119,704.3,200,646fc3e4-61d6-4b8b-b68a-4ccfbd3fc70e,,7,,df20f0cc-1cba-4816-9641-9f68d8eea57d,True,instance_id_cambio,
aws-lambda,forzado,1,1,2026-09-19T17:43:16.003,384.2,200,646fc3e4-61d6-4b8b-b68a-4ccfbd3fc70e,,923,,c1f8c655-c203-4216-b989-0471f9e7f581,False,,
aws-lambda,forzado,1,2,2026-09-19T17:43:16.912,408.6,200,646fc3e4-61d6-4b8b-b68a-4ccfbd3fc70e,,1832,,ebd4d074-7ea5-4a7e-844f-2f6f18a8895e,False,,
aws-lambda,forzado,1,3,2026-09-19T17:43:17.800,386.7,200,646fc3e4-61d6-4b8b-b68a-4ccfbd3fc70e,,2719,,acb19116-975d-461a-9379-c9a6f8b2e68b,False,,
