ventana_inicio_utc,ventana_fin_utc,revision,n_arranques,media_ms,p50_aprox_ms,p95_aprox_ms
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00015-v68,0,0.0,--,--
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00016-m7g,0,0.0,--,--
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00017-mtk,0,0.0,--,--
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00018-2pc,0,0.0,--,--
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00019-4bc,1,1824.6,1802.6,1802.6
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00020-wkn,2,2456.0,1982.9,2903.1
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00021-q9m,2,1679.6,1638.7,1638.7
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00022-nx4,2,2023.9,1982.9,2181.2
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00023-dq8,2,1494.5,1489.8,1638.7
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00024-jck,2,1764.6,1489.8,1982.9
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00025-6g2,1,1573.1,1638.7,1638.7
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00026-4nt,1,1647.2,1638.7,1638.7
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00027-5ln,2,1565.0,1354.3,1802.6
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00028-z8w,2,1836.5,1638.7,1982.9
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00029-64v,0,0.0,--,--
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00030-wjv,1,2355.3,2399.3,2399.3
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00031-b4p,2,1500.8,1354.3,1638.7
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00032-4bh,2,1425.4,1354.3,1489.8
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00033-lnl,1,11568.0,12127.0,12127.0
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00034-4b8,1,2425.1,2399.3,2399.3
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00035-gv7,2,1685.6,1638.7,1802.6
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00036-985,2,1820.9,1802.6,1802.6
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00037-2jc,0,0.0,--,--
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00038-8tr,1,1528.6,1489.8,1489.8
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00039-424,2,1610.5,1354.3,1802.6
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00040-5k4,2,1772.4,1489.8,1982.9
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00041-n7s,0,0.0,--,--
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,poc-ti05-terabyte-00042-mhn,2,2087.3,1489.8,2639.2
2026-09-21T03:04:31.970000Z,2026-09-21T03:26:18.180000Z,TODAS,35,2067.7,1638.7,2903.1
