plataforma,modo,estado,n,p50_ms,p95_ms,media_ms,min_ms,max_ms
aws-lambda,forzado,caliente,125,444.0,503.3,453.9,426.3,535.2
aws-lambda,forzado,frio,25,822.6,925.9,830.5,747.9,1016.8
cloudflare-workers,forzado,caliente,62,569.3,589.8,574.2,561.5,747.7
cloudflare-workers,forzado,frio,88,571.8,596.6,578.5,562.4,800.2
google-cloud-run,forzado,caliente,125,203.0,361.3,235.5,169.5,1219.7
google-cloud-run,forzado,frio,1,12216.6,12216.6,12216.6,12216.6,12216.6
google-cloud-run,forzado,post-despliegue,24,214.3,365.6,236.1,179.3,367.0
aws-lambda,todos,caliente,125,444.0,503.3,453.9,426.3,535.2
aws-lambda,todos,frio,25,822.6,925.9,830.5,747.9,1016.8
cloudflare-workers,todos,caliente,62,569.3,589.8,574.2,561.5,747.7
cloudflare-workers,todos,frio,88,571.8,596.6,578.5,562.4,800.2
google-cloud-run,todos,caliente,125,203.0,361.3,235.5,169.5,1219.7
google-cloud-run,todos,frio,1,12216.6,12216.6,12216.6,12216.6,12216.6
google-cloud-run,todos,post-despliegue,24,214.3,365.6,236.1,179.3,367.0
