N°;Lista;Candidato;Campo;Valor exacto;Unidad/moneda;URL oficial;Fecha consulta;Notas;Clave BibTeX sugerida
1;FaaS;Oracle OCI Functions;Free tier invocaciones;2 million;invocations/month;https://www.oracle.com/cloud/cloud-native/functions/;2026-09-20;First 2M free;oracle2026ocifunctions
2;FaaS;Oracle OCI Functions;Precio invocación over free;0.0000002;USD/invocation;https://www.oracle.com/cloud/cloud-native/functions/;2026-09-20;Over 2M/month;oracle2026ocifunctions
3;FaaS;Oracle OCI Functions;Free tier ejecución;400000;GB-s/month;https://www.oracle.com/cloud/cloud-native/functions/;2026-09-20;First 400k GB-s free;oracle2026ocifunctions
4;FaaS;Oracle OCI Functions;Precio ejecución over free;0.00001417;USD/GB-s;https://www.oracle.com/cloud/cloud-native/functions/;2026-09-20;Over 400k GB-s/month;oracle2026ocifunctions
5;FaaS;Oracle OCI Functions;Provisioned concurrency idle;25%;% of Execution Time rates;https://www.oracle.com/cloud/cloud-native/functions/;2026-09-20;Unused provisioned concurrency;oracle2026ocifunctions
6;FaaS;Oracle OCI Functions;Timeout sync máximo;300;seconds;https://docs.oracle.com/en-us/iaas/Content/Functions/Tasks/functionscustomizing.htm;2026-09-20;default 30s;oracle2026ocifunctionslimits
7;FaaS;Oracle OCI Functions;Timeout detached;5–3600;seconds;https://docs.oracle.com/en-us/iaas/Content/Functions/Tasks/functionscustomizing.htm;2026-09-20;min 5 max 3600;oracle2026ocifunctionslimits
8;FaaS;Oracle OCI Functions;Memoria opciones;128, 256, 512, 1024, 2048, 3072;MB;https://docs.oracle.com/en-us/iaas/Content/Functions/Tasks/functionscustomizing.htm;2026-09-20;fixed set;oracle2026ocifunctionslimits
9;FaaS;Oracle OCI Functions;Payload request/response;6;MB;https://docs.oracle.com/en-us/iaas/Content/Functions/Tasks/functionscustomizing.htm;2026-09-20;max each;oracle2026ocifunctionslimits
10;FaaS;Alibaba Function Compute (FC 3.0);CU Tier 1 list price;0.000020;USD/CU;https://www.alibabacloud.com/help/en/functioncompute/fc/product-overview/pay-as-you-go-billing-methods;2026-09-20;"0–100M CU; regional";alibaba2026fcpayg
11;FaaS;Alibaba Function Compute (FC 3.0);CU Tier 1 discount (2024-08-27–2026-08-27);0.0000160;USD/CU;https://www.alibabacloud.com/help/en/functioncompute/fc/product-overview/pay-as-you-go-billing-methods;2026-09-20;official discount window;alibaba2026fcpayg
12;FaaS;Alibaba Function Compute (FC 3.0);CU Tier 2 list price;0.000017;USD/CU;https://www.alibabacloud.com/help/en/functioncompute/fc/product-overview/pay-as-you-go-billing-methods;2026-09-20;100M–500M CU;alibaba2026fcpayg
13;FaaS;Alibaba Function Compute (FC 3.0);CU Tier 2 discount;0.0000136;USD/CU;https://www.alibabacloud.com/help/en/functioncompute/fc/product-overview/pay-as-you-go-billing-methods;2026-09-20;;alibaba2026fcpayg
14;FaaS;Alibaba Function Compute (FC 3.0);CU Tier 3 list price;0.000014;USD/CU;https://www.alibabacloud.com/help/en/functioncompute/fc/product-overview/pay-as-you-go-billing-methods;2026-09-20;>500M CU;alibaba2026fcpayg
15;FaaS;Alibaba Function Compute (FC 3.0);CU Tier 3 discount;0.0000112;USD/CU;https://www.alibabacloud.com/help/en/functioncompute/fc/product-overview/pay-as-you-go-billing-methods;2026-09-20;;alibaba2026fcpayg
16;FaaS;Alibaba Function Compute (FC 3.0);Trial CU;150000;CU/cycle × 3 cycles;https://www.alibabacloud.com/help/en/functioncompute/trial-quota-1;2026-09-20;first-time users;alibaba2026fctrial
17;FaaS;Alibaba Function Compute (FC 3.0);Memoria máxima por función;32;GB;https://www.alibabacloud.com/help/en/functioncompute/fc-3-0/product-overview/limits-of-usage;2026-09-20;;alibaba2026fclimits
